Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",56.2610,16.0020,180.0000,bottom
"C2","100nF","C_0805_2012Metric",16.5100,10.7950,0.0000,bottom
"C3","100nF","C_0805_2012Metric",38.4810,19.4310,90.0000,bottom
"C4","10uF","CP_EIA-3216-18_Kemet-A",41.0210,18.4150,90.0000,bottom
"C5","1uF","C_1210_3225Metric",29.5910,15.4940,-90.0000,bottom
"C6","100nF","C_0805_2012Metric",28.5750,30.7340,180.0000,bottom
"C7","10uF","CP_EIA-3216-18_Kemet-A",27.8130,33.0200,180.0000,bottom
"C8","1pF/NP0 251R15S1R0AV4E","C_0805_2012Metric",39.6240,28.7020,-90.0000,bottom
"C9","10uF","CP_EIA-3216-18_Kemet-A",23.6220,25.7730,0.0000,bottom
"C10","10uF","CP_EIA-3216-18_Kemet-A",23.6220,19.8040,0.0000,bottom
"C11","100nF","C_0805_2012Metric",23.1140,17.3910,0.0000,bottom
"C12","1uF","C_1210_3225Metric",28.7020,19.8120,0.0000,bottom
"C13","100nF","C_0805_2012Metric",36.8300,31.4960,0.0000,bottom
"C14","100nF","C_0805_2012Metric",54.3560,31.2420,180.0000,bottom
"C15","1uF","C_1210_3225Metric",40.3860,24.1300,-90.0000,bottom
"C16","3n3","C_0805_2012Metric",27.1780,27.5590,-90.0000,bottom
"C17","100nF","C_0805_2012Metric",38.8620,38.1000,0.0000,bottom
"C18","100nF","C_0805_2012Metric",45.7200,20.0660,0.0000,bottom
"C20","100nF","C_0805_2012Metric",21.7170,32.3850,90.0000,bottom
"C21","10uF","C_0805_2012Metric",17.0180,14.7320,0.0000,bottom
"C22","100nF","C_0805_2012Metric",14.4780,17.6230,90.0000,bottom
"C23","10uF","CP_EIA-3216-18_Kemet-A",15.5930,28.0370,0.0000,bottom
"C24","10uF","CP_EIA-3216-18_Kemet-A",15.5930,25.4970,0.0000,bottom
"D1","BZV55C-6,2V","D_MiniMELF",10.1600,21.2090,180.0000,bottom
"D2","S2744-09","HAMAMATSU_S2744-09",35.5600,25.4000,90.0000,top
"L1","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",14.3510,14.0970,90.0000,bottom
"L2","DFE252012P-4R7M","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.7640,17.7800,90.0000,bottom
"L3","L","L_0805_2012Metric",59.6900,26.6700,90.0000,bottom
"M5","RFShield_TwoPieces","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",35.5600,25.4000,180.0000,bottom
"Q1","2SK2394-6","SOT-23",35.4330,17.5260,-90.0000,bottom
"R1","470R","R_0805_2012Metric",44.1960,17.0180,0.0000,bottom
"R2","470R","R_0805_2012Metric",29.0830,36.1950,90.0000,bottom
"R3","4k7","R_0805_2012Metric",32.3850,18.6690,90.0000,bottom
"R4","10M","R_0805_2012Metric",41.7830,28.5750,-90.0000,bottom
"R5","4k7","R_0805_2012Metric",22.3520,28.8290,90.0000,bottom
"R6","4k7","R_0805_2012Metric",22.2250,22.8520,90.0000,bottom
"R7","4k7","R_0805_2012Metric",23.1140,15.1050,180.0000,bottom
"R8","4k7","R_0805_2012Metric",26.4160,15.4940,90.0000,bottom
"R9","10k","R_0805_2012Metric",29.5910,23.3680,90.0000,bottom
"R10","4k7","R_0805_2012Metric",29.4640,27.5590,-90.0000,bottom
"R11","1k","R_0805_2012Metric",27.4320,23.3680,-90.0000,bottom
"R12","100","R_0805_2012Metric",59.6900,22.6060,-90.0000,bottom
"U1","OPA2314","SOIC-8_3.9x4.9mm_P1.27mm",34.4170,27.5590,180.0000,bottom
"U2","ISL21080DIH312Z-TK","SOT-23",45.4660,23.1140,0.0000,bottom
"U3","SHT31-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",34.7980,36.8300,0.0000,bottom
"U4","TPS613222ADBV","SOT-23-5",15.1130,21.8440,90.0000,bottom
